era,zero_pred,filter_off_s0,filter_on_s0,c4_random_s0,filter_off_s1,filter_on_s1,c4_random_s1,filter_off_s2,filter_on_s2,c4_random_s2
1084,0.026912716457112597,-0.04347883472701984,-0.026463211102418203,-0.015561468181876932,-0.026479661208820462,0.003455835494586084,0.005406861873420097,-0.027733416382246936,-0.03403230180658252,-0.02033411747042978
1085,-0.004878890503331267,-0.01130966486837221,0.012019988277695378,0.0002781007974630942,-0.020101775435867622,0.005775578237785074,-0.007652225281169305,-0.0037072585266879005,-0.006425853545852649,-0.03756086814369573
1086,-0.0008841096726916548,0.0013670430094248716,0.00020054325169351986,-0.0044555369396194,0.0034692500625065803,-0.020848314513630152,-0.00676545665566823,-0.0003126023433106291,-0.010845665667333899,-0.029811868791284384
1087,-0.003895864227566344,-0.007942189242631879,-0.002941794531932032,0.013657063913661437,0.015520339555802815,0.0019511486769720572,-0.01671761312959085,0.02309667083731788,0.03946332389758418,0.014688987993209071
1088,-0.019301668879483494,-0.004765733042923396,-0.017474055376417753,-0.0010426860402423018,-0.009064953708018055,-0.0015142527541794544,-0.001280877993435141,0.004878553847694388,-0.005741890209141431,0.013021700032091358
1089,-0.030508528167079593,-0.009257237062432297,0.015205899072082783,0.028749204877626035,-0.02137316246162747,0.0004421008992270458,-0.016118295802629117,0.004658028485264245,0.013671533425099738,-0.018485658499109863
1090,0.04355841325517146,0.03266704538517421,0.02748336008570922,0.020499200262484956,0.013629146812000533,-0.008184034659938767,0.01203422885857943,0.03217343071618525,-0.01309731384803058,-0.019366838146528023
1091,-0.0033589196825123623,0.01448454302258215,0.01405959270462198,0.02965319527842609,0.002720306349928688,0.012226408117825773,-0.007813992898139851,0.03859062263640024,0.015598091193739144,-0.007406174770093142
1092,0.0009045076535872258,0.011790823956757079,0.006416086683869035,-0.014198695322192496,0.028623780085613268,-0.0132507964409317,0.03592318469418829,0.008531542436869929,0.006001908181574638,-0.008776055756220029
1093,0.008139873695239672,0.006026740050539237,0.01888957280014991,-0.0041796802982735715,0.02902103779311048,0.010012293168862674,0.028146629907459992,-0.0032245291735949508,-0.024962289222514908,-0.003535876607101002
1094,-0.04729457918160784,-0.00498222010204637,-0.03655868397704905,-0.013768450877327622,0.01618795472290601,-0.0007271647820621289,0.013817851205430241,-0.017257296598225277,-0.02512642318827775,-0.01005302229029213
1095,-0.0028405573683711795,0.0401519806714971,-0.025443348383098335,-0.009200656857226873,0.0692047553652745,0.011518835104759567,0.008425967433162936,0.038017031949006665,0.013737957363524763,-0.029383849910909185
1096,-0.014875027919905368,0.037444892028991886,0.011241224337951584,0.008913279895865956,0.0711068194091484,0.011123953114904966,0.011627244885246078,0.028053023932317726,0.0012706426474525208,0.023813400716309153
