era,numerai_corr,spearman,n
0742,0.09663382526582177,0.08721246876272214,5967
0743,0.08912746053911019,0.08590480599627938,5982
0744,0.057530432152068274,0.0639716949775651,5945
0745,0.0649750694169308,0.06363063894722282,5971
0746,0.054681909852084605,0.06832169388594712,6012
0747,0.05142270509430836,0.05369225154930782,5896
0748,0.035938800287764944,0.03960794569286962,5901
0749,0.01689686813023751,0.028321283520157527,5871
0750,0.02092847087734522,0.02034661247247089,5949
0751,0.03363289959109525,0.04321129797155652,6029
0752,0.04063242378835621,0.044612359306743954,6009
0753,0.04302103467320805,0.047852183901281244,6038
0754,0.0632682325578707,0.053408057592865564,6022
0755,0.0630930090146502,0.06314836635116332,6016
0756,0.04803289666232647,0.050536362904985095,6030
0757,0.04884698095166838,0.041259331319241435,6066
0758,0.0322094525952652,0.031135978709990724,5975
0759,0.0359228596230941,0.04293452092559053,5922
0760,0.03381543213956683,0.0391970182489327,5949
0761,0.0238691144888632,0.03850999207340023,5972
0762,0.04480320161448916,0.04469299210815474,6008
0763,0.04696310231490365,0.04169055505697738,6049
0764,0.03483348309698098,0.030044812317897896,6040
0765,0.05467753000173497,0.04040381341797001,6037
0766,0.05060303542037891,0.050045863033348015,5917
0767,0.05235845932477328,0.049186597065646376,6039
0768,0.05137926182502524,0.04539665804967785,6102
0769,0.04488807583071146,0.04746902078559425,6261
0770,0.03896869593861508,0.04006376657930351,6302
0771,0.034372357513712905,0.03859811412823041,6297
0772,0.050433248604378735,0.049540038133354516,6265
0773,0.02656374951133014,0.02887907799605094,6202
0774,0.04423539294274086,0.03398605879650829,6215
0775,0.029141849022540935,0.016478956554966756,6302
0776,0.03909340359516357,0.038678111211814276,6352
0777,0.07425419121718338,0.06588715795268321,6391
0778,0.031228700910358738,0.03716761170682107,6407
0779,0.011970790608805206,0.011126493127607068,6413
0780,0.015432630596879495,0.00408330396143613,6367
0781,0.01368606940527725,0.005313145566162029,6379
0782,0.051343560937989106,0.04609887904427813,6364
0783,0.05810071014021038,0.05507544542678448,6228
0784,0.06769604328732785,0.06411102954043192,6212
0785,0.060610223088867474,0.05400493965805321,6210
0786,0.05561483206121241,0.051146244512936256,6306
0787,0.03329963740575592,0.029946272433294868,6416
0788,0.03057679196734225,0.026897222702103492,6501
0789,0.030218727157192697,0.01822159760527471,6552
0790,0.035306755848898926,0.03783075002396015,6567
0791,0.04386338103818238,0.049079464218282215,6514
0792,0.045297431553176816,0.05486505475096656,6470
0793,0.04053352417823947,0.06006061062471438,6346
0794,0.04767932785627513,0.04470748305375015,6413
0795,0.025547815686081853,0.025698755177303245,6431
0796,0.029780600844151097,0.03973239793581006,6376
0797,0.029312141327720746,0.03702860032184823,6395
0798,0.0367592838575641,0.042824642103631315,6355
0799,0.040026962648377414,0.039216203242948645,6334
0800,0.04019137259695705,0.04464468731218053,6254
0801,0.03844214788367173,0.043223715278326795,6242
0802,0.05846717487252277,0.05403252425064448,6246
0803,0.04576566180536933,0.048081356201287055,6266
0804,0.06407403786439247,0.06510332333141194,6283
0805,0.051560701476355615,0.04514942102872777,6343
0806,0.04682486041751491,0.041704200698449524,6336
0807,0.04156575487116292,0.03374856130259651,6309
0808,0.041378797302277066,0.03771539099735384,6354
0809,0.039048448238336586,0.05663693835582533,6398
0810,0.044832860092645525,0.05821368763904307,6348
0811,0.057827219175119585,0.06780660763753954,6270
0812,0.05085767315436387,0.057928628915562844,6132
0813,0.061232966085985246,0.05664850072704631,6051
0814,0.05605806493434352,0.04230797013734581,6089
0815,0.029186958844851976,0.019294501769630903,6087
0816,0.010894252195322284,0.0007124847192126852,6107
0817,0.012289645807475163,0.010685559969622277,6096
0818,0.012665769258567567,0.02369246196151561,6046
0819,0.01221891222639559,0.011814643393424841,6058
0820,0.0019475390826496043,0.01524405844740322,6024
0821,0.0024388771499733075,-0.01085286832770378,6089
0822,0.014081839288272708,0.008163366597893943,6141
0823,0.038674629952250475,0.025233381658389828,6129
0824,0.043280728219448526,0.03228225663020611,6191
0825,0.027577760284072324,0.038283551742467156,6144
0826,0.03537393021340449,0.034317453214291395,6095
0827,0.025294917531430948,0.02046601561744466,6142
0828,0.01779604434860692,0.019671575115046937,6061
0829,0.044583005018240855,0.04413014225880128,6035
0830,0.05715158922725302,0.05342566920974926,5943
0831,0.04240736827429936,0.026935972019136785,5885
0832,0.05803319605229941,0.04676947656437889,5944
0833,0.05274388393925217,0.05503508784243993,5915
0834,0.04709824461810475,0.058206527278056135,5949
0835,0.07159912091155089,0.0825727631506711,5905
0836,0.06004282848194893,0.055201739760739554,5838
0837,0.04681260800653123,0.05723829225530533,5771
0838,0.04253444381563019,0.048885524806336386,5693
0839,0.034562129783903016,0.04085633403374273,5765
0840,0.04314816679182785,0.039327077073039576,5796
0841,0.03601629352062034,0.02560633340565982,5772
0842,0.02408644135484981,0.022107449164507922,5790
0843,0.038153855577357045,0.030346742105101736,5843
0844,0.04246782160346275,0.03530153340707272,5895
0845,0.048228315153123376,0.028074725148954774,5953
0846,0.06050542722735347,0.051536296586625896,5978
0847,0.041861258415703845,0.03941868059807423,5993
0848,0.037565990069928,0.029435415530667603,5982
0849,0.03462213704767699,0.032805896057239534,5990
0850,0.03749464412564474,0.04626854407442663,5928
0851,0.05471740311285754,0.0545281022927519,5880
0852,0.052888442974156416,0.04396691831970028,5818
0853,0.04987266516379742,0.04922686569188326,5836
0854,0.04091022955313836,0.03350480910121795,5827
0855,0.03267130761861921,0.031511752739368355,5848
0856,0.0291887918729005,0.023754510411633897,5828
0857,0.05623672248567949,0.06497680148187605,5822
0858,0.04168240484293375,0.04706224631443848,5774
0859,0.0405008247509743,0.041299696766077074,5799
0860,0.04583062252647801,0.04561006380176489,5811
0861,0.01906390072256708,0.019598471124639395,5817
0862,0.02183204347965923,0.004940254060083482,5874
0863,0.027444545793734152,0.025890333349367224,5860
0864,0.007161835269053879,0.0013378788249992601,5811
0865,-0.017700895624168433,-0.017566222674130827,5779
0866,-0.003543569744895357,-0.01319422576576128,5790
0867,0.002117977637717914,0.0037643712342209468,5820
0868,0.011553688660887426,0.017699593129911526,5846
0869,0.051839472601284006,0.061378595641405416,5797
0870,0.05564638332252948,0.05645960014610214,5782
0871,0.04560259836499839,0.035728149209051895,5715
0872,0.03529759375121995,0.033540456201442984,5743
0873,0.008161055775734932,0.0025210756373150634,5852
0874,0.0008923513673731958,-0.0040775131145068975,6146
0875,0.00261922405658777,0.016904500729098517,6141
0876,0.019595688079964355,0.03149043875565806,6080
0877,0.03406018383957329,0.03577464167841263,6044
0878,0.02735136817437383,0.020184660871436166,6016
0879,0.04690013109353737,0.04201128845037754,6055
0880,0.028075869339252758,0.015200366366261446,6123
0881,0.019037364789099155,0.004311707440236985,6160
0882,0.017590871306974794,0.004588501235856957,6175
0883,0.014845566777822118,0.0007379642709594997,6155
0884,0.015077148840463257,0.02387084919625709,6127
0885,0.029976779153757262,0.03995965999061942,6127
0886,0.009754078833848134,0.01660628092820931,6200
0887,0.02733870682433212,0.0303262162000434,6173
0888,0.030494075302324567,0.022487635913679502,6121
0889,0.020340371484566907,0.011921185192832362,6165
0890,0.017613139505109968,0.005371590348174527,6131
0891,0.028277586313980904,0.01747452695587917,6208
0892,0.03644720964921185,0.02205880082629719,6271
0893,0.027348054936818952,0.016841878829661233,6302
0894,-0.007099014294953657,-0.011679608732451061,6302
0895,0.01074585317176703,0.009602032758598346,6299
0896,0.02275546125072095,0.016231695011648558,6325
0897,0.036273490905985105,0.03318508070258229,6400
0898,0.05563672548392721,0.06343097020989101,6441
0899,0.010531953702792165,0.02715449026873498,6463
0900,0.02193485358081081,0.034138532880218245,6524
0901,0.02390340403405675,0.02479685657573335,6459
0902,0.02926376638938831,0.027690503421049437,6402
0903,0.034141592524504064,0.03493563675232163,6272
0904,0.031090853772603864,0.03806124781282935,6136
0905,0.032220798021657955,0.034969498430208815,6192
0906,0.032135021955680146,0.03824364864268475,6157
0907,0.03935602440206169,0.03879530129804154,6134
0908,0.03752047078442928,0.039796760020359145,6205
0909,0.019995752729616505,0.0380142167472658,6247
0910,0.039651888552834455,0.0418303128791096,6364
0911,0.03795492427829585,0.03295753075806589,6430
0912,0.052819445313466655,0.05372076908930202,6488
0913,0.0457245087155356,0.03925741652778274,6279
0914,0.052869233452163385,0.0496793548926326,6409
0915,0.0467075987634377,0.0409130669717142,6332
0916,0.03153350798967711,0.03138219192648123,6316
0917,0.024032299441786826,0.026660977676395293,6301
0918,0.045400340795541526,0.03449323234707275,6280
0919,0.017500466196195344,0.01955317572290296,6309
0920,0.0058757477063055,-0.005104487799414581,6313
0921,0.006088647629042437,0.0030853221227673793,6298
0922,0.03021421280139796,0.017481250446923502,6314
0923,0.04720130055457168,0.04461648645539494,6356
0924,0.04717730619338422,0.04424260143779505,6334
0925,0.04423023820890122,0.03890106484764276,6374
0926,0.048888210253065605,0.03452825316996747,6548
0927,0.03973872896712277,0.03099654575958672,6508
0928,0.0325838682478953,0.01978390871576057,6474
0929,0.03449381993091238,0.03192794440571818,6400
0930,0.03150982162765338,0.03736600168514531,6330
0931,0.03281356089755545,0.026311965412891113,6316
0932,0.05075404165910908,0.03883992834413644,6368
0933,0.04525874137018085,0.042019011374763014,6500
0934,0.0531675272855897,0.04213049250416766,6610
0935,0.04224123288517176,0.03585363154197173,6811
0936,0.056232304288727775,0.06487856914312615,6925
0937,0.05512108101170701,0.053958904960890015,6913
0938,0.051102761588277666,0.04345500742664425,6966
0939,0.050193039100509804,0.06141613932389708,6866
0940,0.04597477537214158,0.05104261038643904,6798
0941,0.029268744330312613,0.04382928932384389,6842
0942,0.03841514434706384,0.04602735237978577,6846
0943,0.03567574012300037,0.03355431895664409,6898
0944,0.0289025934773066,0.023378353144216924,6953
0945,0.017422503984789527,0.011137232456781198,6961
0946,0.03916142895208797,0.03551899830045367,6963
0947,0.0631316963320751,0.057443862211167,6996
0948,0.06579836953813996,0.061203193041553805,7033
0949,0.08726029548628293,0.08972286615156479,7168
0950,0.0865998296744846,0.08999717662159255,7246
0951,0.08942080342394039,0.09107862476751868,7309
0952,0.09251423981023382,0.08037177898837461,7246
0953,0.07128237503867074,0.05788273828879006,7225
0954,0.037827733872814226,0.0278917475582673,7191
0955,0.025174957410185883,0.009732631588356985,7067
0956,0.027775401837496237,0.011193520920953772,7033
0957,0.028520932329037445,0.01379826157139927,7021
0958,0.04359452083294942,0.031811638820727406,7058
0959,0.07102793664746547,0.05822041396787498,7117
0960,0.06754835423962029,0.0526344972701146,7119
0961,0.0748340497311526,0.06746096500345358,7103
0962,0.06764611834334246,0.0729018847183131,7040
0963,0.05030129328741646,0.056643905329776756,6996
0964,0.04181530944711635,0.05655179113984538,6988
0965,0.025967182697168117,0.04168997587217051,7027
0966,0.04753188563849683,0.04289876941179969,7070
0967,0.030857960909839183,0.03562017715252294,7063
0968,0.040370099045880806,0.03794653785988602,6998
